year,gtmpanom_noaa_aw,gtmp_noaa_aw_dtfe2s
1860,-.24,-.041287463
1861,-.26,-.10515103
1862,-.3,-.10309028
1863,-.16,.029980503
1864,-.19,.068377167
1865,-.13,.066035822
1866,-.11,.082833007
1867,-.18,-.022952829
1868,-.14,.017787794
1869,-.12,.052746233
1870,-.16,-.039281055
1871,-.17,-.029408792
1872,-.18,-.048081741
1873,-.19,-.063935451
1874,-.21,-.051543117
1875,-.19,-.032208987
1876,-.22,-.05308903
1877,.05,.21470268
1878,.06,.24567004
1879,-.11,-.034326226
1880,-.17,-.090954803
1881,-.13,-.068718933
1882,-.12,-.044855028
1883,-.22,-.097634032
1884,-.31,-.22408454
1885,-.32,-.20454884
1886,-.25,-.063868038
1887,-.31,-.070260972
1888,-.17,.061888047
1889,-.08,.17774916
1890,-.28,-.07388071
1891,-.19,.011670033
1892,-.25,-.011160924
1893,-.32,-.16027053
1894,-.24,.016514279
1895,-.19,.038693067
1896,-.06,.13541229
1897,-.07,.17046265
1898,-.23,-.083854355
1899,-.16,-.019497123
1900,-.08,.093211219
1901,-.13,.0012307334
1902,-.23,-.089055084
1903,-.32,-.20539238
1904,-.43,-.29473948
1905,-.24,-.021932479
1906,-.2,.083177246
1907,-.33,-.10268419
1908,-.4,-.13982849
1909,-.43,-.15489604
1910,-.39,-.081676476
1911,-.41,-.023332378
1912,-.33,.024312526
1913,-.32,.046615768
1914,-.14,.20596227
1915,-.1,.26029029
1916,-.31,-.039256014
1917,-.43,-.19058132
1918,-.28,-.016868429
1919,-.24,.04050906
1920,-.25,.036935337
1921,-.17,.10169069
1922,-.25,-.026201339
1923,-.24,-.019500172
1924,-.22,.057175394
1925,-.2,.014578793
1926,-.09,.12975658
1927,-.18,.033101849
1928,-.16,-.016267778
1929,-.31,-.11805948
1930,-.11,.03049084
1931,-.06,.16337885
1932,-.12,.015720755
1933,-.25,-.10835062
1934,-.1,.016899167
1935,-.15,-.0013319097
1936,-.12,.017618522
1937,.01,.163072
1938,.02,.10439689
1939,.01,.068284489
1940,.16,.22451609
1941,.22,.21043819
1942,.09,.025816666
1943,.1,.0022326855
1944,.24,.11210324
1945,.14,-.012794863
1946,-.04,-.20368716
1947,-.01,-.16971226
1948,-.06,-.20080732
1949,-.06,-.15101983
1950,-.12,-.13029641
1951,-.01,-.056154173
1952,.05,.06733878
1953,.13,.14120048
1954,-.07,-.066355996
1955,-.13,-.18389207
1956,-.17,-.16473052
1957,.06,.071363188
1958,.08,.14952075
1959,.07,.0575069
1960,.02,-.0039292206
1961,.06,.0061127669
1962,.05,.017866544
1963,.08,.039938714
1964,-.15,-.21383455
1965,-.06,-.15461798
1966,-.02,-.016486129
1967,.01,-.018723631
1968,-.06,-.036969107
1969,.09,.07335075
1970,.05,.043436464
1971,-.05,-.076938167
1972,.02,.0071831779
1973,.19,.1569598
1974,-.05,-.099382281
1975,.01,-.064607888
1976,-.04,-.071309745
1977,.21,.10384661
1978,.11,.12284395
1979,.22,.096796751
1980,.29,.18255636
1981,.35,.16584459
1982,.19,-.0064164279
1983,.34,.086136788
1984,.19,-.074741408
1985,.16,-.16418563
1986,.21,-.0294277
1987,.33,.040772676
1988,.41,.13494483
1989,.31,.03350741
1990,.44,.078220837
1991,.42,.089022934
1992,.23,-.1718232
1993,.27,-.10840932
1994,.32,-.049469303
1995,.48,.081785105
1996,.35,.018110212
1997,.5,.061036192
1998,.63,.22670817
1999,.42,-.051645968
2000,.42,-.07817059
2001,.55,.07157027
2002,.62,.063925207
2003,.63,.11367093
2004,.54,-.034529395
2005,.7,.04670202
2006,.66,.062803328
2007,.65,-.017846761
2008,.55,-.10141703
2009,.66,-.056184277
2010,.73,.061835393
2011,.62,-.066787221
2012,.66,-.059018753
2013,.68,-.021611752
2014,.76,.019422961
2015,.91,.21182975
2016,1.03,.26000902
2017,.9399999999999999,.087428823
2018,.86,-.047674723
2019,.97,.032073852
